date_time,traffic,baseline,is_holiday,hour,alert_status
2012-10-03 00:00:00,506,896,0,0,NORMAL
2012-10-03 01:00:00,321,577,0,1,NORMAL
2012-10-03 02:00:00,273,457,0,2,NORMAL
2012-10-03 03:00:00,367,457,0,3,NORMAL
2012-10-03 04:00:00,814,804,0,4,NORMAL
2012-10-03 05:00:00,2718,2173,0,5,NORMAL
2012-10-03 06:00:00,5673,4111,0,6,NORMAL
2012-10-03 07:00:00,6092,4740,0,7,NORMAL
2012-10-03 08:00:00,6511,4620,0,8,NORMAL
2012-10-03 09:00:00,5471,4419,0,9,NORMAL
2012-10-03 10:00:00,5346,4245,0,10,NORMAL
2012-10-03 11:00:00,5222,4506,0,11,NORMAL
2012-10-03 12:00:00,5097,4738,0,12,NORMAL
2012-10-03 13:00:00,4887,4763,0,13,NORMAL
2012-10-03 14:00:00,5337,4965,0,14,NORMAL
2012-10-03 15:00:00,5692,5274,0,15,NORMAL
2012-10-03 16:00:00,6137,5680,0,16,NORMAL
2012-10-03 17:00:00,5380,5318,0,17,NORMAL
2012-10-03 18:00:00,4623,4306,0,18,NORMAL
2012-10-03 19:00:00,3591,3346,0,19,NORMAL
2012-10-03 20:00:00,2898,2895,0,20,NORMAL
2012-10-03 21:00:00,2637,2703,0,21,NORMAL
2012-10-03 22:00:00,1777,2240,0,22,NORMAL
2012-10-03 23:00:00,1015,1525,0,23,NORMAL
2012-10-04 00:00:00,598,896,0,0,NORMAL
2012-10-04 01:00:00,369,577,0,1,NORMAL
2012-10-04 02:00:00,312,457,0,2,NORMAL
2012-10-04 03:00:00,367,457,0,3,NORMAL
2012-10-04 04:00:00,835,804,0,4,NORMAL
2012-10-04 05:00:00,2726,2173,0,5,NORMAL
2012-10-04 06:00:00,5689,4111,0,6,NORMAL
2012-10-04 07:00:00,6990,4740,0,7,NORMAL
2012-10-04 08:00:00,5985,4620,0,8,NORMAL
2012-10-04 09:00:00,5309,4419,0,9,NORMAL
2012-10-04 10:00:00,4603,4245,0,10,NORMAL
2012-10-04 11:00:00,4884,4506,0,11,NORMAL
2012-10-04 12:00:00,5104,4738,0,12,NORMAL
2012-10-04 13:00:00,5178,4763,0,13,NORMAL
2012-10-04 14:00:00,5501,4965,0,14,NORMAL
2012-10-04 15:00:00,5713,5274,0,15,NORMAL
2012-10-04 16:00:00,6292,5680,0,16,NORMAL
2012-10-04 17:00:00,6057,5318,0,17,NORMAL
2012-10-04 18:00:00,4907,4306,0,18,NORMAL
2012-10-04 19:00:00,3503,3346,0,19,NORMAL
2012-10-04 20:00:00,3037,2895,0,20,NORMAL
2012-10-04 21:00:00,2822,2703,0,21,NORMAL
2012-10-04 22:00:00,1992,2240,0,22,NORMAL
2012-10-04 23:00:00,1166,1525,0,23,NORMAL
